ID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,Andhra Pradesh,ANANTAPUR,1997,Kharif,Cotton(lint),7300,9400
2,Andhra Pradesh,ANANTAPUR,1998,Kharif,Cotton(lint),14000,12900
3,Andhra Pradesh,ANANTAPUR,1999,Kharif,Cotton(lint),9453,10510
4,Andhra Pradesh,ANANTAPUR,2000,Kharif,Cotton(lint),12025,16128
5,Andhra Pradesh,ANANTAPUR,2001,Kharif,Cotton(lint),8552,9055
6,Andhra Pradesh,ANANTAPUR,2002,Kharif,Cotton(lint),7638,7144
7,Andhra Pradesh,ANANTAPUR,2003,Kharif,Cotton(lint),4212,4262
8,Andhra Pradesh,ANANTAPUR,2004,Kharif,Cotton(lint),8933,7041
9,Andhra Pradesh,ANANTAPUR,2005,Kharif,Cotton(lint),3295,3450
10,Andhra Pradesh,ANANTAPUR,2006,Kharif,Cotton(lint),1506,1940
11,Andhra Pradesh,ANANTAPUR,2007,Kharif,Cotton(lint),3000,2000
12,Andhra Pradesh,ANANTAPUR,2008,Kharif,Cotton(lint),1611,1241
13,Andhra Pradesh,ANANTAPUR,2009,Kharif,Cotton(lint),2063,1226
14,Andhra Pradesh,ANANTAPUR,2010,Kharif,Cotton(lint),4338,2977
15,Andhra Pradesh,ANANTAPUR,2011,Kharif,Cotton(lint),19299,12069
16,Andhra Pradesh,ANANTAPUR,2012,Kharif,Cotton(lint),27566,35511
17,Andhra Pradesh,ANANTAPUR,2012,Rabi,Cotton(lint),77,99
18,Andhra Pradesh,ANANTAPUR,2013,Kharif,Cotton(lint),37661,77316
19,Andhra Pradesh,ANANTAPUR,2013,Rabi,Cotton(lint),62,127
20,Andhra Pradesh,ANANTAPUR,2014,Kharif,Cotton(lint),73734,103779
21,Andhra Pradesh,ANANTAPUR,2014,Rabi,Cotton(lint),884,1244
22,Andhra Pradesh,CHITTOOR,1999,Kharif,Cotton(lint),2,2
23,Andhra Pradesh,CHITTOOR,2000,Kharif,Cotton(lint),19,25
24,Andhra Pradesh,CHITTOOR,2001,Kharif,Cotton(lint),2,2
25,Andhra Pradesh,CHITTOOR,2005,Kharif,Cotton(lint),4,4
26,Andhra Pradesh,CHITTOOR,2008,Kharif,Cotton(lint),24,37
27,Andhra Pradesh,CHITTOOR,2009,Kharif,Cotton(lint),66,94
28,Andhra Pradesh,CHITTOOR,2010,Kharif,Cotton(lint),235,98
29,Andhra Pradesh,CHITTOOR,2011,Kharif,Cotton(lint),400,65
30,Andhra Pradesh,CHITTOOR,2012,Kharif,Cotton(lint),317,405
31,Andhra Pradesh,CHITTOOR,2012,Rabi,Cotton(lint),226,288
32,Andhra Pradesh,CHITTOOR,2013,Kharif,Cotton(lint),157,391
33,Andhra Pradesh,CHITTOOR,2013,Rabi,Cotton(lint),194,483
34,Andhra Pradesh,CHITTOOR,2014,Kharif,Cotton(lint),308,723
35,Andhra Pradesh,CHITTOOR,2014,Rabi,Cotton(lint),545,1278
36,Andhra Pradesh,EAST GODAVARI,1997,Kharif,Cotton(lint),9800,23400
37,Andhra Pradesh,EAST GODAVARI,1998,Kharif,Cotton(lint),7900,6300
38,Andhra Pradesh,EAST GODAVARI,1999,Kharif,Cotton(lint),4410,7289
39,Andhra Pradesh,EAST GODAVARI,2000,Kharif,Cotton(lint),5580,10536
40,Andhra Pradesh,EAST GODAVARI,2001,Kharif,Cotton(lint),6289,16425
41,Andhra Pradesh,EAST GODAVARI,2002,Kharif,Cotton(lint),4555,8092
42,Andhra Pradesh,EAST GODAVARI,2003,Kharif,Cotton(lint),8969,26696
43,Andhra Pradesh,EAST GODAVARI,2004,Kharif,Cotton(lint),16022,45616
44,Andhra Pradesh,EAST GODAVARI,2005,Kharif,Cotton(lint),13939,10167
45,Andhra Pradesh,EAST GODAVARI,2006,Kharif,Cotton(lint),9034,19397
46,Andhra Pradesh,EAST GODAVARI,2007,Kharif,Cotton(lint),8000,18000
47,Andhra Pradesh,EAST GODAVARI,2008,Kharif,Cotton(lint),7432,14165
48,Andhra Pradesh,EAST GODAVARI,2009,Kharif,Cotton(lint),6845,19649
49,Andhra Pradesh,EAST GODAVARI,2010,Kharif,Cotton(lint),12112,21517
50,Andhra Pradesh,EAST GODAVARI,2011,Kharif,Cotton(lint),13150,19880
51,Andhra Pradesh,EAST GODAVARI,2012,Kharif,Cotton(lint),16845,32501
52,Andhra Pradesh,EAST GODAVARI,2013,Kharif,Cotton(lint),21781,24728
53,Andhra Pradesh,EAST GODAVARI,2014,Kharif,Cotton(lint),22433,47597
54,Andhra Pradesh,GUNTUR,1997,Kharif,Cotton(lint),162300,432500
55,Andhra Pradesh,GUNTUR,1998,Kharif,Cotton(lint),193600,120700
56,Andhra Pradesh,GUNTUR,1999,Kharif,Cotton(lint),139425,252605
57,Andhra Pradesh,GUNTUR,2000,Kharif,Cotton(lint),125251,252712
58,Andhra Pradesh,GUNTUR,2001,Kharif,Cotton(lint),126285,378112
59,Andhra Pradesh,GUNTUR,2002,Kharif,Cotton(lint),98628,186813
60,Andhra Pradesh,GUNTUR,2003,Kharif,Cotton(lint),138925,485420
61,Andhra Pradesh,GUNTUR,2004,Kharif,Cotton(lint),177868,593242
62,Andhra Pradesh,GUNTUR,2005,Kharif,Cotton(lint),152978,462533
63,Andhra Pradesh,GUNTUR,2006,Kharif,Cotton(lint),132550,468603
64,Andhra Pradesh,GUNTUR,2007,Kharif,Cotton(lint),150000,689000
65,Andhra Pradesh,GUNTUR,2008,Kharif,Cotton(lint),166289,643636
66,Andhra Pradesh,GUNTUR,2009,Kharif,Cotton(lint),151490,524868
67,Andhra Pradesh,GUNTUR,2010,Kharif,Cotton(lint),170158,402203
68,Andhra Pradesh,GUNTUR,2011,Kharif,Cotton(lint),162714,346485
69,Andhra Pradesh,GUNTUR,2012,Kharif,Cotton(lint),187397,708802
70,Andhra Pradesh,GUNTUR,2013,Kharif,Cotton(lint),193207,752371
71,Andhra Pradesh,GUNTUR,2014,Kharif,Cotton(lint),206374,1075856
72,Andhra Pradesh,GUNTUR,2014,Rabi,Cotton(lint),22,115
73,Andhra Pradesh,KADAPA,1997,Kharif,Cotton(lint),13400,17400
74,Andhra Pradesh,KADAPA,1998,Kharif,Cotton(lint),24800,22900
75,Andhra Pradesh,KADAPA,1999,Kharif,Cotton(lint),25038,27836
76,Andhra Pradesh,KADAPA,2000,Kharif,Cotton(lint),30687,41157
77,Andhra Pradesh,KADAPA,2001,Kharif,Cotton(lint),21579,23356
78,Andhra Pradesh,KADAPA,2002,Kharif,Cotton(lint),11500,12921
79,Andhra Pradesh,KADAPA,2003,Kharif,Cotton(lint),15784,12999
80,Andhra Pradesh,KADAPA,2004,Kharif,Cotton(lint),27717,15815
81,Andhra Pradesh,KADAPA,2005,Kharif,Cotton(lint),14578,11834
82,Andhra Pradesh,KADAPA,2006,Kharif,Cotton(lint),7940,5651
83,Andhra Pradesh,KADAPA,2007,Kharif,Cotton(lint),9000,14000
84,Andhra Pradesh,KADAPA,2008,Kharif,Cotton(lint),11467,11669
85,Andhra Pradesh,KADAPA,2009,Kharif,Cotton(lint),12614,17882
86,Andhra Pradesh,KADAPA,2010,Kharif,Cotton(lint),17011,40822
87,Andhra Pradesh,KADAPA,2011,Kharif,Cotton(lint),30845,48314
88,Andhra Pradesh,KADAPA,2012,Kharif,Cotton(lint),28546,58771
89,Andhra Pradesh,KADAPA,2012,Rabi,Cotton(lint),330,679
90,Andhra Pradesh,KADAPA,2013,Kharif,Cotton(lint),34119,50175
91,Andhra Pradesh,KADAPA,2013,Rabi,Cotton(lint),1803,2651
92,Andhra Pradesh,KADAPA,2014,Kharif,Cotton(lint),34346,57550
93,Andhra Pradesh,KADAPA,2014,Rabi,Cotton(lint),1246,2088
94,Andhra Pradesh,KRISHNA,1997,Kharif,Cotton(lint),26400,63300
95,Andhra Pradesh,KRISHNA,1998,Kharif,Cotton(lint),41300,32500
96,Andhra Pradesh,KRISHNA,1999,Kharif,Cotton(lint),31696,52392
97,Andhra Pradesh,KRISHNA,2000,Kharif,Cotton(lint),29437,64069
98,Andhra Pradesh,KRISHNA,2001,Kharif,Cotton(lint),35374,77615
